t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,severity
0.0149,0.0041,0.0194,0.0457,0.007,0.007,0.0474,0.023,0.0141,0.0163,0.0139,0.014,0.0073,0.0574,0.0517,0.0169,0.0304,0.0094,0.0272,0.0424,0.044,0.0068,0.002,0.0427,0.0164,0.0039,0.0382,0.0298,0.0945,0.2621,0.693,1.502,2.4936,3.4883,3.8798,3.4973,2.6546,1.6515,0.8749,0.4559,0.3449,0.3117,0.3068,0.2809,0.2563,0.1647,0.0982,0.0766,0.0331,0.0651,42.9
0.0116,0.0203,0.0184,0.0309,0.0279,0.0252,0.0093,0.0099,0.0293,0.0148,0.0076,0.0414,0.0651,0.1142,0.2782,0.5429,1.0905,1.802,2.6262,3.2824,3.5923,3.3334,2.9385,2.1986,1.4805,1.0095,0.7645,0.6241,0.5871,0.4393,0.3408,0.2745,0.1615,0.1083,0.0592,0.0488,0.0195,0.0201,0.0173,0.0038,0.0296,0.0214,0.0101,0.0119,0.044,0.009,0.0079,0.0002,0.0071,0.0425,43.08
0.0103,0.0241,0.0048,0.0121,0.0566,0.0053,0.0084,0.0083,0.1006,0.2262,0.8755,2.5797,5.3252,8.3699,9.7445,8.5049,6.0183,3.508,2.3651,2.1881,2.1989,1.92,1.3545,0.8367,0.3944,0.1646,0.0602,0.0409,0.0618,0.0129,0.0401,0.0205,0.0324,0.0502,0.0263,0.0118,0.0261,0.0382,0.0078,0.04,0.0488,0.006,0.0081,0.0237,0.0373,0.0398,0.0158,0.009,0.0076,0.0104,100.0
0.007,0.0088,0.0214,0.056,0.0142,0.0357,0.0197,0.0292,0.0236,0.0348,0.0246,0.0289,0.0124,0.0247,0.0573,0.0096,0.0331,0.0687,0.1675,0.4152,1.0232,2.1192,3.7614,5.6188,7.22,7.7943,7.258,5.9109,3.9666,2.2957,1.1415,0.5048,0.228,0.1038,0.0482,0.0541,0.0657,0.0282,0.0367,0.0147,0.0435,0.0098,0.015,0.0291,0.0065,0.0032,0.0354,0.0115,0.0174,0.0329,87.39
0.0413,0.0281,0.0155,0.0154,0.0155,0.1156,0.0171,0.0341,0.0286,0.0195,0.0095,0.0228,0.0232,0.0071,0.0146,0.0025,0.0694,0.056,0.0206,0.0484,0.0142,0.0327,0.0019,0.0324,0.0222,0.0243,0.0412,0.0854,0.2706,0.7827,1.8587,3.5175,5.7206,7.6181,8.5684,8.1144,7.0742,5.1214,3.5778,2.5857,1.9963,1.5594,1.2129,0.8952,0.6473,0.3852,0.2545,0.1445,0.1229,0.0596,99.19
0.0145,0.038,0.0212,0.0133,0.0233,0.028,0.0027,0.1013,0.0473,0.0656,0.2128,0.5068,1.0752,2.0226,3.3814,4.9481,6.2034,6.7402,6.3514,5.6153,4.1758,2.8854,1.9709,1.3832,1.0602,0.8383,0.6852,0.56,0.4119,0.3228,0.2274,0.1093,0.0801,0.0449,0.04,0.0192,0.0231,0.0235,0.0297,0.0139,0.0233,0.029,0.0108,0.0256,0.0199,0.0257,0.0174,0.0229,0.0187,0.0009,81.74
0.0383,0.0177,0.0164,0.0061,0.0065,0.033,0.0248,0.0244,0.0392,0.0006,0.0205,0.0093,0.0097,0.0039,0.0029,0.0179,0.0245,0.0628,0.0302,0.0364,0.0347,0.0237,0.0187,0.0189,0.0004,0.0271,0.0039,0.0303,0.0775,0.1878,0.5721,1.2907,2.3639,3.4024,3.8475,3.3928,2.5332,1.4264,0.6586,0.2629,0.1458,0.0926,0.0533,0.0291,0.0262,0.0568,0.0351,0.0118,0.0058,0.034,39.81
0.0087,0.0097,0.0248,0.0156,0.046,0.0033,0.0121,0.0207,0.012,0.0067,0.0004,0.0029,0.0232,0.0007,0.0149,0.0435,0.0289,0.0659,0.038,0.1452,0.6543,2.4918,6.2479,10.9792,13.2517,11.0689,7.1844,3.5582,2.2187,2.225,2.3705,1.988,1.2957,0.6747,0.2837,0.1455,0.1051,0.0665,0.0363,0.0678,0.0529,0.0126,0.0439,0.0529,0.0218,0.003,0.0035,0.0151,0.0199,0.0329,100.0
0.0036,0.0154,0.0213,0.0337,0.046,0.0383,0.01,0.0225,0.0465,0.0035,0.0355,0.0024,0.0632,0.0573,0.022,0.0699,0.1218,0.2721,0.4967,0.871,1.4205,2.0906,2.7246,3.2559,3.4317,3.3415,3.1117,2.4796,1.9158,1.3784,0.9817,0.6444,0.4563,0.3078,0.2701,0.1392,0.125,0.0717,0.0407,0.0449,0.0248,0.0372,0.0052,0.0308,0.0311,0.0163,0.0168,0.0245,0.0037,0.0315,43.7
0.0359,0.0589,0.0011,0.021,0.0064,0.0034,0.0066,0.0184,0.0227,0.0159,0.0173,0.0083,0.0691,0.0455,0.041,0.0493,0.0075,0.0173,0.0093,0.0924,0.0336,0.0038,0.0287,0.0486,0.0092,0.0414,0.1326,0.3589,1.0396,2.3969,4.3197,6.1722,7.0225,6.2326,4.6442,2.9104,1.877,1.6479,1.7395,1.8291,1.6661,1.2596,0.8391,0.4586,0.2053,0.0942,0.0428,0.0298,0.0327,0.0062,79.25
0.0081,0.0015,0.0072,0.0272,0.0173,0.0227,0.015,0.0293,0.003,0.0225,0.0501,0.0163,0.0199,0.0171,0.0229,0.0541,0.0488,0.0014,0.0078,0.0271,0.0192,0.0499,0.0021,0.0369,0.0223,0.0123,0.0627,0.1203,0.3077,0.6303,1.1978,1.9775,2.8069,3.5184,3.831,3.5599,3.1507,2.2976,1.554,1.0273,0.6935,0.5249,0.4578,0.3569,0.2896,0.2233,0.1634,0.1106,0.0715,0.0467,46.54
0.0623,0.0262,0.01,0.0371,0.0167,0.0783,0.0874,0.2208,0.4228,0.8973,1.7448,2.7931,3.9834,4.9762,5.456,5.1714,4.6345,3.6504,2.7342,2.0432,1.5989,1.2855,1.061,0.7408,0.5099,0.3272,0.2035,0.1175,0.0703,0.0227,0.0239,0.0192,0.0128,0.033,0.0166,0.0091,0.0301,0.0139,0.0117,0.023,0.0279,0.0263,0.0408,0.0125,0.0564,0.0233,0.0374,0.0534,0.0449,0.0197,68.54
